epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,13261.9,1.07511,0.56459,0.99269,0.86683,0.81277,0.86301,0.51036,1.19589,0.59697,1.16939,0.000356815,0.000356815,0.000356815
72,13448.1,1.0696,0.55643,0.9908,0.90387,0.76898,0.84597,0.51149,1.18564,0.58218,1.17428,0.000336086,0.000336086,0.000336086
73,13635.3,1.03758,0.54917,0.97953,0.89252,0.83735,0.88858,0.50689,1.20019,0.60416,1.15709,0.000315855,0.000315855,0.000315855
74,13822.5,1.08518,0.56815,0.98438,0.91898,0.80295,0.87569,0.5281,1.15222,0.5843,1.14451,0.000296144,0.000296144,0.000296144
75,14009.1,1.0696,0.55958,0.99497,0.9436,0.78847,0.87812,0.51406,1.17513,0.60296,1.16026,0.000276971,0.000276971,0.000276971
76,14195.8,1.04689,0.54848,0.98071,0.92871,0.80341,0.87305,0.51533,1.18226,0.5797,1.16259,0.000258355,0.000258355,0.000258355
77,14382.6,1.04058,0.5362,0.97702,0.93119,0.83197,0.89405,0.51404,1.18875,0.57249,1.17472,0.000240316,0.000240316,0.000240316
78,14569.3,1.05075,0.54674,0.98689,0.88512,0.85588,0.90391,0.51747,1.179,0.56657,1.15212,0.00022287,0.00022287,0.00022287
79,14755.7,1.05696,0.54165,0.98461,0.91627,0.80498,0.89558,0.50828,1.19526,0.59896,1.15842,0.000206034,0.000206034,0.000206034
80,14942.5,1.05533,0.5368,0.97897,0.92341,0.77948,0.87881,0.50543,1.15589,0.58734,1.1561,0.000189827,0.000189827,0.000189827
81,15128.7,1.03183,0.52988,0.98402,0.87848,0.83968,0.90299,0.50822,1.17389,0.5855,1.15415,0.000174262,0.000174262,0.000174262
82,15315.3,1.02717,0.52959,0.9687,0.90846,0.83164,0.89495,0.50391,1.19299,0.59816,1.15947,0.000159357,0.000159357,0.000159357
83,15501.9,1.01894,0.51661,0.9676,0.91134,0.79175,0.88737,0.50886,1.17185,0.57899,1.15363,0.000145125,0.000145125,0.000145125
84,15688.8,1.02809,0.51926,0.96767,0.89194,0.82932,0.89517,0.51142,1.16838,0.57676,1.15063,0.000131581,0.000131581,0.000131581
85,15875.7,1.01475,0.51744,0.96974,0.90642,0.82335,0.89167,0.51546,1.157,0.57698,1.14362,0.000118737,0.000118737,0.000118737
86,16062.6,1.021,0.52249,0.968,0.91833,0.81504,0.88232,0.51155,1.15443,0.56126,1.14334,0.000106608,0.000106608,0.000106608
87,16249.4,1.04452,0.53523,0.97531,0.89549,0.81907,0.87898,0.5157,1.14952,0.58484,1.14107,9.52034e-05,9.52034e-05,9.52034e-05
88,16436.2,1.01679,0.5225,0.9681,0.88875,0.84279,0.88998,0.5223,1.16326,0.56192,1.14606,8.4536e-05,8.4536e-05,8.4536e-05
89,16624.3,1.02854,0.52243,0.96511,0.90176,0.81482,0.88345,0.51424,1.15764,0.57212,1.15392,7.4616e-05,7.4616e-05,7.4616e-05
90,16812.1,1.00521,0.50902,0.95973,0.89088,0.85659,0.88851,0.51059,1.16755,0.57444,1.1581,6.54531e-05,6.54531e-05,6.54531e-05
91,16997.7,0.99477,0.50967,0.96741,0.89921,0.83683,0.89354,0.50833,1.18008,0.59574,1.16097,5.70564e-05,5.70564e-05,5.70564e-05
92,17183.7,0.98754,0.48563,0.95573,0.91023,0.83225,0.90005,0.51199,1.18846,0.59276,1.17002,4.94343e-05,4.94343e-05,4.94343e-05
93,17369.6,0.97093,0.47745,0.95681,0.87461,0.82899,0.88163,0.50521,1.20073,0.59249,1.17833,4.25941e-05,4.25941e-05,4.25941e-05
94,17555.6,0.97604,0.47866,0.9566,0.87618,0.84244,0.899,0.51237,1.18122,0.58391,1.17259,3.65426e-05,3.65426e-05,3.65426e-05
95,17741.6,0.98685,0.4811,0.95148,0.90831,0.84203,0.89969,0.51538,1.16957,0.57125,1.16689,3.12859e-05,3.12859e-05,3.12859e-05
96,17927.5,0.96861,0.46815,0.95369,0.90816,0.82391,0.88834,0.52005,1.17217,0.56166,1.16665,2.68292e-05,2.68292e-05,2.68292e-05
97,18113.6,0.9653,0.46917,0.95858,0.90701,0.82331,0.88602,0.51741,1.1756,0.55842,1.16464,2.31767e-05,2.31767e-05,2.31767e-05
98,18299.6,0.95628,0.46503,0.94675,0.90818,0.81882,0.88638,0.51787,1.16836,0.56076,1.15973,2.03321e-05,2.03321e-05,2.03321e-05
99,18485.7,0.97745,0.46825,0.95712,0.86885,0.84398,0.88437,0.51488,1.17264,0.56196,1.16138,1.82983e-05,1.82983e-05,1.82983e-05
100,18671.8,0.97485,0.47939,0.95947,0.8859,0.84099,0.88595,0.51371,1.17735,0.57069,1.16129,1.70772e-05,1.70772e-05,1.70772e-05
